position,title
Q14828018,member of the Senate of France
Q24931583,member of the Senate of France
Q3044918,member of the French National Assembly
Q62545834,Member of the Regional Council of Alsace
Q62295268,Member of the Regional Council of Aquitaine
Q62537600,Member of the Regional Council of Auvergne
Q62394055,Member of the Regional Council of Auvergne-Rhône-Alpes
Q62287528,Member of the Regional Council of Basse-Normandie
Q62538024,Member of the Regional Council of Bourgogne-Franche-Comté
Q62059762,Member of the Regional Council of Brittany
Q62538105,Member of the Regional Council of Burgundy
Q62537707,Member of the Regional Council of Centre-Val de Loire
Q62458534,Member of the Regional Council of Champagne-Ardenne
Q62538550,Member of the Regional Council of Franche-Comté
Q111142156,Member of the Regional Council of French Guiana
Q62457650,Member of the Regional Council of Grand Est
Q63610569,Member of the Regional Council of Guadeloupe
Q62274430,Member of the Regional Council of the Hauts-de-France
Q59239951,Member of the Regional Council of Île-de-France
Q62337168,Member of the Regional Council of Languedoc-Roussillon
Q62333385,Member of the Regional Council of Limousin
Q62561369,Member of the Regional Council of Lorraine
Q63616798,Member of the Regional Council of Martinique
Q62394046,Member of the Regional Council of Midi-Pyrénées
Q62274475,Member of the Regional Council of Nord-Pas-de-Calais
Q62286129,Member of the Regional Council of Normandie
Q62292905,Member of the Regional Council of Nouvelle-Aquitaine
Q62335320,Member of the Regional Council of Occitanie
Q61291513,Member of the Regional Council of Pays de la Loire
Q62275083,Member of the Regional Council of Picardy
Q62334641,Member of the Regional Council of Poitou-Charentes
Q52319034,Member of the Regional Council of Provence-Alpes-Côte d'Azur
Q62456083,Member of the Regional Council of Rhône-Alpes
Q23906822,Member of the Regional Council of Réunion
Q62286641,Member of the Regional Council of Upper Normandy
