@@,name,position
->,Charlotte Caubel,"Minister Delegate for Gender Equality, Diversity and Equal Opportunities->Secrétaire d’Etat auprès de la Première ministre, chargée de l'Enfance"
->,Franck Riester,"Minister Delegate for Foreign Trade and Economic Attractiveness->Ministre délégué auprès de la ministre de l'Europe et des Affaires étrangères, chargé du Commerce extérieur et de l’Attractivité"
->,Éric Dupond-Moretti,"Keeper of the Seals, Minister of Justice->Garde des Sceaux, ministre de la Justice"
---,Chrisoula Zacharopoulou,"Minister Delegate for Tourism, French Nationals Abroad and Francophonie"
+++,Chrysoula Zacharopoulou,"Secrétaire d'Etat auprès de la ministre de l’Europe et des Affaires étrangères, chargée du Développement, de la Francophonie et des Partenariats internationaux"
+++,Isabelle Rome,"Ministre déléguée auprès de la Première ministre, chargée de l'Égalité entre les femmes et les hommes, de la Diversité et de l'Égalité des chances"
+++,Agnès Pannier-Runacher,Ministre de la Transition énergétique
